spkr,age,lightlevel,contrast,.
1.212340311,0,mesopic,2,
1.215034742,0,mesopic,2,
1.161129252,0,mesopic,2,
1.346244002,0,mesopic,2,
1.236028876,0,mesopic,2,
1.109931632,0,mesopic,2,
1.374594813,0,mesopic,2,
1.295013318,0,mesopic,2,
1.273936905,0,mesopic,2,
1.149933551,0,mesopic,2,
1.133347954,0,mesopic,2,
1.314234673,0,mesopic,2,
1.359439892,0,mesopic,2,
1.235942436,0,mesopic,2,
1.307521361,0,mesopic,2,
1.136691339,0,mesopic,2,
1.241103355,0,mesopic,2,
1.366455893,0,mesopic,2,
1.121555812,0,mesopic,2,
1.247437716,0,mesopic,2,
1.402076304,0,mesopic,2,
1.259626392,0,mesopic,2,
1.263880601,0,mesopic,2,
1.305042976,0,mesopic,2,
1.335766274,0,mesopic,2,
1.33430789,0,mesopic,2,
1.230162983,0,mesopic,2,
1.037686002,0,mesopic,2,
1.193731971,0,mesopic,2,
1.393518626,0,mesopic,2,
1.404636472,0,mesopic,2,
1.301679982,0,mesopic,2,
1.379579359,0,mesopic,2,
1.260179244,0,mesopic,2,
1.266207223,0,mesopic,2,
1.230035676,0,mesopic,2,
1.237263345,0,mesopic,2,
1.181553151,0,mesopic,2,
1.222586881,0,mesopic,2,
1.251267343,0,mesopic,2,
1.313927092,0,mesopic,2,
1.107986418,0,mesopic,2,
1.230176409,0,mesopic,2,
1.424467712,0,mesopic,2,
1.093639884,0,mesopic,2,
1.279346391,0,mesopic,2,
1.311350335,0,mesopic,2,
1.388350956,0,mesopic,2,
1.142401665,0,mesopic,2,
1.116385506,0,mesopic,2,
1.192667026,0,mesopic,2,
1.115669109,0,mesopic,2,
1.341026696,0,mesopic,2,
1.257446517,0,mesopic,2,
1.093914753,0,mesopic,2,
1.215279437,0,mesopic,2,
1.397344138,0,mesopic,2,
1.273489502,0,mesopic,2,
1.024921217,0,mesopic,2,
1.042695393,0,mesopic,2,
1.317048004,0,mesopic,2,
1.159646307,0,mesopic,2,
1.039917265,0,mesopic,2,
1.32175781,0,mesopic,2,
1.252306739,0,mesopic,2,
1.314350822,0,mesopic,2,
1.041567817,0,mesopic,2,
1.173583886,0,mesopic,2,
1.224892322,0,mesopic,2,
1.356073547,0,mesopic,2,
1.124925808,0,mesopic,2,
1.417624002,0,mesopic,2,
1.217400816,0,mesopic,2,
1.283361713,0,mesopic,2,
1.181265992,0,mesopic,2,
1.139232733,0,mesopic,2,
1.199601639,0,mesopic,2,
1.248061566,0,mesopic,2,
1.241194217,0,mesopic,2,
1.229748255,0,mesopic,2,
1.365523508,0,mesopic,2,
1.157584722,0,mesopic,2,
1.152362492,0,mesopic,2,
